UPE | Compare Intel® Products
05/06/2024 11:05:50 AM
,Intel® Core™ i3-10110Y Processor (4M Cache- up to 4.00GHz)

Essentials
Product Collection,10th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Amber Lake Y
Vertical Segment,Mobile
Processor Number,i3-10110Y
Lithography,14 nm
Recommended Customer Price,$316.00

CPU Specifications
Total Cores,2
Total Threads,4
Max Turbo Frequency,4.00 GHz
Processor Base Frequency,1.00 GHz
Cache,4 MB Intel® Smart Cache
Bus Speed,4 GT/s
TDP,7 W
Configurable TDP-up Base Frequency,1.50 GHz
Configurable TDP-up,9 W
Configurable TDP-down Base Frequency,700 MHz
Configurable TDP-down,5.5 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q3'19
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),16 GB
Memory Types,LPDDR3-2133 |  DDR3L-1600
Max # of Memory Channels,2
Max Memory Bandwidth,33.33 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 10th Gen Intel® Processors
Graphics Base Frequency,300 MHz
Graphics Max Dynamic Frequency,1.00 GHz
Graphics Video Max Memory,16 GB
Graphics Output,eDP/DP/HDMI/DVI
Execution Units,24
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2304@24Hz
Max Resolution (DP)‡,3840 x 2160@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,3840 x 2160@60Hz
DirectX* Support,12
OpenGL* Support,4.5
Intel® Quick Sync Video,Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x87CA

Expansion Options
PCI Express Revision,3.0
PCI Express Configurations ‡,1x4 |  2x2 |  1x2+2x1 and 4x1
Max # of PCI Express Lanes,10

Package Specifications
Sockets Supported,UTFCBGA1377
Max CPU Configuration,1
TJUNCTION,100
Package Size,26.5mm x 18.5mm

Advanced Technologies
Intel® Speed Shift Technology,Yes
Intel® Thermal Velocity Boost,No
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Identity Protection Technology ‡,Yes
Intel® My WiFi Technology,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME
Intel® Memory Protection Extensions (Intel® MPX),Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/196455/intel-core-i310110y-processor-4m-cache-up-to-4-00ghz/specifications.html
