UPE | Compare Intel® Products
05/06/2024 11:04:07 AM
,Intel® Core™ i3-1215UE Processor (10M Cache- up to 4.40 GHz)

Essentials
Product Collection,12th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Alder Lake
Vertical Segment,Embedded
Processor Number,i3-1215UE
Lithography,Intel 7
Recommended Customer Price,$285.00

CPU Specifications
Total Cores,6
# of Performance-cores,2
# of Efficient-cores,4
Total Threads,8
Performance-core Max Turbo Frequency,4.40 GHz
Efficient-core Max Turbo Frequency,3.30 GHz
Cache,10 MB Intel® Smart Cache
Processor Base Power,15 W
Maximum Turbo Power,55 W
Minimum Assured Power,12 W
Maximum Assured Power,28 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'22
Embedded Options Available,Yes
Use Conditions,Embedded Broad Market Commercial Temp

Memory Specifications
Max Memory Size (dependent on memory type),64 GB
Memory Types,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 12th Gen Intel® Processors
Graphics Max Dynamic Frequency,1.10 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,64
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304 @ 120Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Multi-Format Codec Engines,1
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0x46B3

Expansion Options
Intel® Thunderbolt™ 4,Yes
Microprocessor PCIe Revision,Gen 4
Chipset / PCH PCIe Revision,Gen 3
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCBGA1744
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,50 x 25
Max Operating Temperature,100 °C

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Image Processing Unit,6.0
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.2
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Speed Shift Technology,Yes
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes

Security & Reliability
Intel® Control-Flow Enforcement Technology,Yes
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/227851/intel-core-i31215ue-processor-10m-cache-up-to-4-40-ghz/specifications.html
