UPE | Compare Intel® Products
05/06/2024 11:04:10 AM
,Intel® Core™ i3-1220PE Processor (12M Cache- up to 4.20 GHz)

Essentials
Product Collection,12th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Alder Lake
Vertical Segment,Embedded
Processor Number,i3-1220PE
Lithography,Intel 7
Recommended Customer Price,$295.00

CPU Specifications
Total Cores,8
# of Performance-cores,4
# of Efficient-cores,4
Total Threads,12
Performance-core Max Turbo Frequency,4.20 GHz
Efficient-core Max Turbo Frequency,3.10 GHz
Cache,12 MB Intel® Smart Cache
Processor Base Power,28 W
Maximum Turbo Power,64 W
Minimum Assured Power,20 W
Maximum Assured Power,35 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'22
Embedded Options Available,Yes
Use Conditions,Embedded Broad Market Commercial Temp

Memory Specifications
Max Memory Size (dependent on memory type),64 GB
Memory Types,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 12th Gen Intel® Processors
Graphics Max Dynamic Frequency,1.25 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,48
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304 @ 120Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Multi-Format Codec Engines,2
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0x46A3

Expansion Options
Intel® Thunderbolt™ 4,Yes
Microprocessor PCIe Revision,Gen 4
Chipset / PCH PCIe Revision,Gen 3
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCBGA1744
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,50 x 25
Max Operating Temperature,100 °C

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Image Processing Unit,6.0
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.2
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Speed Shift Technology,Yes
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes

Security & Reliability
Intel® Control-Flow Enforcement Technology,Yes
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/227852/intel-core-i31220pe-processor-12m-cache-up-to-4-20-ghz/specifications.html
