UPE | Compare Intel® Products
05/06/2024 11:03:47 AM
,Intel® Core™ i3-1315U Processor (10M Cache- up to 4.50 GHz)

Essentials
Product Collection,13th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Raptor Lake
Vertical Segment,Mobile
Processor Number,i3-1315U
Lithography,Intel 7
Recommended Customer Price,$309.00

CPU Specifications
Total Cores,6
# of Performance-cores,2
# of Efficient-cores,4
Total Threads,8
Max Turbo Frequency,4.5 GHz
Performance-core Max Turbo Frequency,4.5 GHz
Efficient-core Max Turbo Frequency,3.3 GHz
Cache,10 MB Intel® Smart Cache
Processor Base Power,15 W
Maximum Turbo Power,55 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'23
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),96 GB
Memory Types,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT/s Up to LPDDR4x 4267 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 13th Gen Intel® Processors
Graphics Max Dynamic Frequency,1.25 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,64
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304 @ 120Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Multi-Format Codec Engines,1
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0xA7A9

Expansion Options
Intel® Thunderbolt™ 4,Yes
Microprocessor PCIe Revision,Gen 4
Chipset / PCH PCIe Revision,Gen 3
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCBGA1744
Max CPU Configuration,1
TJUNCTION,100°C
Max Operating Temperature,100 °C
Package Size,50mm x25mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.2
Intel® Adaptix™ Technology,Yes
Intel® Speed Shift Technology,Yes
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel® Threat Detection Technology (TDT),Yes
Intel® Control-Flow Enforcement Technology,Yes
Intel® AES New Instructions,Yes
Secure Key,Yes
Execute Disable Bit ‡,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/232136/intel-core-i31315u-processor-10m-cache-up-to-4-50-ghz/specifications.html
