UPE | Compare Intel® Products
05/06/2024 11:10:01 AM
,Intel® Core™ i3-4100M Processor (3M Cache- 2.50 GHz)

Essentials
Product Collection,4th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Haswell
Vertical Segment,Mobile
Processor Number,i3-4100M
Lithography,22 nm

CPU Specifications
Total Cores,2
Total Threads,4
Processor Base Frequency,2.50 GHz
Cache,3 MB Intel® Smart Cache
Bus Speed,5 GT/s
TDP,37 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q4'13
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,DDR3L 1333/1600
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® HD Graphics 4600
Graphics Base Frequency,400 MHz
Graphics Max Dynamic Frequency,1.10 GHz
Graphics Video Max Memory,2 GB
Graphics Output,eDP/DP/HDMI/VGA
Max Resolution (HDMI)‡,3840x2160@60Hz
Max Resolution (DP)‡,3840x2160@60Hz
Max Resolution (VGA)‡,2880x1800@60Hz
DirectX* Support,11.2/12
OpenGL* Support,4.3
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
# of Displays Supported ‡,3
Device ID,0x416

Expansion Options
PCI Express Revision,2.0
PCI Express Configurations ‡,1x16 or 2x8 or 1x8 2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCPGA946
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,37.5mm x 37.5mm x 4.7mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Anti-Theft Technology,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,No
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/76346/intel-core-i34100m-processor-3m-cache-2-50-ghz/specifications.html
