UPE | Compare Intel® Products
05/06/2024 11:07:54 AM
,Intel® Core™ i3-6100E Processor (3M Cache- 2.70 GHz)

Essentials
Product Collection,6th Generation Intel® Core™ i3 Processors
Code Name,Products formerly Skylake
Vertical Segment,Embedded
Processor Number,i3-6100E
Lithography,14 nm
Recommended Customer Price,$225.00

CPU Specifications
Total Cores,2
Total Threads,4
Processor Base Frequency,2.70 GHz
Cache,3 MB Intel® Smart Cache
Bus Speed,8 GT/s
TDP,35 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q4'15
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Friday |  September 30 |  2022
Embedded Options Available,Yes
Use Conditions,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),64 GB
Memory Types,DDR4-2133 |  LPDDR3-1866 |  DDR3L-1600
Max # of Memory Channels,2
Max Memory Bandwidth,34.1 GB/s
ECC Memory Supported   ‡,Yes

GPU Specifications
GPU Name‡,Intel® HD Graphics 530
Graphics Base Frequency,350 MHz
Graphics Max Dynamic Frequency,950 MHz
Graphics Video Max Memory,64 GB
Graphics Output,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@24Hz
Max Resolution (DP)‡,4096x2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz
Max Resolution (VGA)‡,N/A
DirectX* Support,12
OpenGL* Support,4.5
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x191B

Expansion Options
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8+2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCBGA1440
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,42mm x 28mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,Yes
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME
Intel® Memory Protection Extensions (Intel® MPX),Yes
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Intel® Boot Guard,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/90611/intel-core-i36100e-processor-3m-cache-2-70-ghz/specifications.html
