UPE | Compare Intel® Products
05/06/2024 10:55:03 AM
,Intel® Core™ i5-11500HE Processor (12M Cache- up to 4.50 GHz)

Essentials
Product Collection,11th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Tiger Lake
Vertical Segment,Embedded
Processor Number,i5-11500HE
Lithography,10 nm SuperFin
Recommended Customer Price,$256.00

CPU Specifications
Total Cores,6
Total Threads,12
Max Turbo Frequency,4.50 GHz
Cache,12 MB Intel® Smart Cache
Configurable TDP-up Base Frequency,2.60 GHz
Configurable TDP-up,45 W
Configurable TDP-down Base Frequency,2.10 GHz
Configurable TDP-down,35 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q3'21
Embedded Options Available,Yes
Use Conditions,Embedded Broad Market Commercial Temp

Memory Specifications
Max Memory Size (dependent on memory type),128 GB
Memory Types,DDR4-3200
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 11th Gen Intel® Processors
Graphics Base Frequency,350 MHz
Graphics Max Dynamic Frequency,1.35 GHz
Graphics Output,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b
Execution Units,32
Max Resolution (HDMI)‡,4096x2304@60Hz
Max Resolution (DP)‡,7680x4320@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0x9A60

Expansion Options
Intel® Thunderbolt™ 4,Yes
Microprocessor PCIe Revision,Gen 4
Chipset / PCH PCIe Revision,Gen 3
PCI Express Configurations ‡,Up to 1x16+1x4 |  2x8+1x4 |  1x8+3x4
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCBGA1787
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,50 x 26.5
Max Operating Temperature,100 °C
Minimum Operating Temperature,0 °C

Advanced Technologies
Intel® Gaussian & Neural Accelerator,2.0
Intel® Image Processing Unit,6.0
Intel® Smart Sound Technology,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.1
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512
# of AVX-512 FMA Units,6
Thermal Monitoring Technologies,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® Control-Flow Enforcement Technology,Yes
Intel® Total Memory Encryption,Yes
Intel® AES New Instructions,Yes
Intel® Software Guard Extensions (Intel® SGX),No
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Stable IT Platform Program (SIPP),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/217369/intel-core-i511500he-processor-12m-cache-up-to-4-50-ghz/specifications.html
