UPE | Compare Intel® Products
05/06/2024 10:53:14 AM
,Intel® Core™ i5-1340P Processor (12M Cache- up to 4.60 GHz)

Essentials
Product Collection,13th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Raptor Lake
Vertical Segment,Mobile
Processor Number,i5-1340P
Lithography,Intel 7
Recommended Customer Price,$353.00

CPU Specifications
Total Cores,12
# of Performance-cores,4
# of Efficient-cores,8
Total Threads,16
Max Turbo Frequency,4.60 GHz
Performance-core Max Turbo Frequency,4.60 GHz
Efficient-core Max Turbo Frequency,3.40 GHz
Cache,12 MB Intel® Smart Cache
Processor Base Power,28 W
Maximum Turbo Power,64 W
Minimum Assured Power,20 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'23
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),96 GB
Memory Types,Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT/s Up to LPDDR4x 4267 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® Iris® Xe Graphics eligible
Graphics Max Dynamic Frequency,1.45 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,80
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304 @ 120Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Multi-Format Codec Engines,2
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0xA7A0

Expansion Options
Intel® Thunderbolt™ 4,Yes
Microprocessor PCIe Revision,Gen 4
Chipset / PCH PCIe Revision,Gen 3
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCBGA1744
Max CPU Configuration,1
TJUNCTION,100°C
Max Operating Temperature,100 °C
Package Size,50mm x25mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Image Processing Unit,6.0
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.2
Intel® Adaptix™ Technology,Yes
Intel® Speed Shift Technology,Yes
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Essentials
Intel® Threat Detection Technology (TDT),Yes
Intel® Standard Manageability (ISM) ‡,Yes
Intel® Hardware Shield Eligibility ‡,Yes
Intel® Control-Flow Enforcement Technology,Yes
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/232126/intel-core-i51340p-processor-12m-cache-up-to-4-60-ghz/specifications.html
