UPE | Compare Intel® Products
05/06/2024 11:01:39 AM
,Intel® Core™ i5-4340M Processor (3M Cache- up to 3.60 GHz)

Essentials
Product Collection,4th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Haswell
Vertical Segment,Mobile
Processor Number,i5-4340M
Lithography,22 nm

CPU Specifications
Total Cores,2
Total Threads,4
Max Turbo Frequency,3.60 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.60 GHz
Processor Base Frequency,2.90 GHz
Cache,3 MB Intel® Smart Cache
Bus Speed,5 GT/s
TDP,37 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q1'14
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,DDR3L 1333/1600
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® HD Graphics 4600
Graphics Base Frequency,400 MHz
Graphics Max Dynamic Frequency,1.25 GHz
Graphics Video Max Memory,2 GB
Graphics Output,eDP/DP/HDMI
Max Resolution (HDMI)‡,3840x2160@60Hz
Max Resolution (DP)‡,3840x2160@60Hz
Max Resolution (VGA)‡,2880x1800@60Hz
DirectX* Support,11.2/12
OpenGL* Support,4.3
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,3
Device ID,0x416

Expansion Options
PCI Express Revision,3
PCI Express Configurations ‡,1x16 or 2x8 or 1x8 2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCPGA946
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,37.5mm x 37.5mm x 4.7mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Anti-Theft Technology,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/80344/intel-core-i54340m-processor-3m-cache-up-to-3-60-ghz/specifications.html
