UPE | Compare Intel® Products
05/06/2024 11:01:18 AM
,Intel® Core™ i5-4410E Processor (3M Cache- up to 2.90 GHz)

Essentials
Product Collection,4th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Haswell
Vertical Segment,Embedded
Processor Number,i5-4410E
Lithography,22 nm

CPU Specifications
Total Cores,2
Total Threads,4
Processor Base Frequency,2.90 GHz
Cache,3 MB Intel® Smart Cache
Bus Speed,5 GT/s
TDP,37 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q2'14
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,Yes
Use Conditions,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet
Datasheet,View now
Product Brief,View now
Additional Information,View now

Memory Specifications
Max Memory Size (dependent on memory type),16 GB
Memory Types,DDR3L 1333/1600
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s
ECC Memory Supported   ‡,Yes

GPU Specifications
GPU Name‡,Intel® HD Graphics 4600
Graphics Base Frequency,400 MHz
Graphics Max Dynamic Frequency,1.00 GHz
Graphics Video Max Memory,1.7 GB
Graphics Output,eDP/DP/HDMI/VGA
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Flexible Display Interface (Intel® FDI),Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,3

Expansion Options
Scalability,1S Only
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8 2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCBGA1364
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,37.5mm x 32mm x 1.6mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,No
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Anti-Theft Technology,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/79199/intel-core-i54410e-processor-3m-cache-up-to-2-90-ghz/specifications.html
