UPE | Compare Intel® Products
05/06/2024 11:02:24 AM
,Intel® Core™ i5-4670R Processor (4M Cache- up to 3.70 GHz)

Essentials
Product Collection,4th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Crystal Well
Vertical Segment,Desktop
Processor Number,i5-4670R
Lithography,22 nm

CPU Specifications
Total Cores,4
Total Threads,4
Max Turbo Frequency,3.70 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.70 GHz
Processor Base Frequency,3.00 GHz
Cache,4 MB Intel® Smart Cache
Bus Speed,5 GT/s
# of QPI Links,0
TDP,65 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q2'13
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,DDR3 and DDR3L 1333/1600 at 1.5V
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® Iris® Pro Graphics 5200
Graphics Base Frequency,200 MHz
Graphics Max Dynamic Frequency,1.30 GHz
Graphics Video Max Memory,2 GB
Graphics Output,eDP/DP/HDMI/VGA
Max Resolution (HDMI)‡,3840x2160@60Hz
Max Resolution (DP)‡,3840x2160@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,3840x2160@60Hz
Max Resolution (VGA)‡,2880x1800@60Hz
DirectX* Support,11.2/12
OpenGL* Support,4.3
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Flexible Display Interface (Intel® FDI),Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,3
Device ID,0xD22

Expansion Options
Scalability,1S Only
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8/2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCBGA1364
Max CPU Configuration,1
Package Size,37.5mm x 32mm x 1.65mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,No
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Intel® My WiFi Technology,Yes
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Anti-Theft Technology,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/76641/intel-core-i54670r-processor-4m-cache-up-to-3-70-ghz/specifications.html
