UPE | Compare Intel® Products
05/06/2024 10:57:49 AM
,Intel® Core™ i5-8210Y Processor (4M Cache- up to 3.60 GHz)

Essentials
Product Collection,8th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Amber Lake Y
Vertical Segment,Mobile
Processor Number,i5-8210Y
Lithography,14 nm

CPU Specifications
Total Cores,2
Total Threads,4
Max Turbo Frequency,3.60 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.60 GHz
Processor Base Frequency,1.60 GHz
Cache,4 MB Intel® Smart Cache
Bus Speed,4 GT/s
TDP,7 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q1'19
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),16 GB
Memory Types,LPDDR3-2133 |  DDR3L-1600
Max # of Memory Channels,2
Max Memory Bandwidth,33.3 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics 617
Graphics Base Frequency,300 MHz
Graphics Max Dynamic Frequency,1.05 GHz
Graphics Video Max Memory,16 GB
Graphics Output,eDP/DP/HDMI/DVI
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096x2304@24Hz
Max Resolution (DP)‡,3840x2160@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,3840x2160@60Hz
DirectX* Support,12
OpenGL* Support,4.5
Intel® Quick Sync Video,Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x87C0

Expansion Options
PCI Express Revision,3.0
PCI Express Configurations ‡,1x4 |  2x2 |  1x2+2x1 and 4x1
Max # of PCI Express Lanes,10

Package Specifications
Sockets Supported,FCBGA1515
Max CPU Configuration,1
TJUNCTION,100
Package Size,20mm X 16.5mm

Advanced Technologies
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Identity Protection Technology ‡,Yes
Intel® Smart Response Technology,Yes
Intel® My WiFi Technology,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME
Intel® Memory Protection Extensions (Intel® MPX),Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Intel® OS Guard,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/189912/intel-core-i58210y-processor-4m-cache-up-to-3-60-ghz/specifications.html
