UPE | Compare Intel® Products
05/06/2024 10:57:14 AM
,Intel® Core™ i5-9400T Processor (9M Cache- up to 3.40 GHz)

Essentials
Product Collection,9th Generation Intel® Core™ i5 Processors
Code Name,Products formerly Coffee Lake
Vertical Segment,Desktop
Processor Number,i5-9400T
Lithography,14 nm
Recommended Customer Price,$182.00

CPU Specifications
Total Cores,6
Total Threads,6
Max Turbo Frequency,3.40 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.40 GHz
Processor Base Frequency,1.80 GHz
Cache,9 MB Intel® Smart Cache
Bus Speed,8 GT/s
TDP,35 W
Configurable TDP-down Base Frequency,1.20 GHz
Configurable TDP-down,25 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q2'19
Embedded Options Available,No
Use Conditions,PC/Client/Tablet
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),128 GB
Memory Types,DDR4-2666
Max # of Memory Channels,2
Max Memory Bandwidth,41.6 GB/s
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics 630
Graphics Base Frequency,350 MHz
Graphics Max Dynamic Frequency,1.05 GHz
Graphics Video Max Memory,64 GB
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2304@24Hz
Max Resolution (DP)‡,4096 x 2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304@60Hz
DirectX* Support,12
OpenGL* Support,4.5
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3
Device ID,0x3E92

Expansion Options
Scalability,1S Only
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8+2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCLGA1151
Max CPU Configuration,1
Thermal Solution Specification,PCG 2015A (35W)
TJUNCTION,100°C
Package Size,37.5mm x 37.5mm

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,No
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® ME
Intel® Memory Protection Extensions (Intel® MPX),Yes
Intel® OS Guard,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Intel® Boot Guard,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/134893/intel-core-i59400t-processor-9m-cache-up-to-3-40-ghz/specifications.html
