UPE | Compare Intel® Products
05/06/2024 10:44:24 AM
,Intel® Core™ i7-1180G7 Processor (12M Cache- up to 4.60 GHz- with IPU)

Essentials
Product Collection,11th Generation Intel® Core™ i7 Processors
Code Name,Products formerly Tiger Lake
Vertical Segment,Mobile
Processor Number,i7-1180G7
Lithography,10 nm SuperFin
Recommended Customer Price,$426.00

CPU Specifications
Total Cores,4
Total Threads,8
Max Turbo Frequency,4.60 GHz
Cache,12 MB Intel® Smart Cache
Bus Speed,2 GT/s
Configurable TDP-up Base Frequency,2.20 GHz
Configurable TDP-up,15 W
Configurable TDP-down Base Frequency,900 MHz
Configurable TDP-down,7 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q1'21
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,LPDDR4x-4267
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® Iris® Xe Graphics
Graphics Max Dynamic Frequency,1.10 GHz
Graphics Output,eDP 1.4b |  MIPI-DSI 2.0 |  DP 1.4 |  HDMI 2.0b
Execution Units,96
Max Resolution (HDMI)‡,4096x2304@60Hz
Max Resolution (DP)‡,7680x4320@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2304@60Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Multi-Format Codec Engines,2
Intel® Quick Sync Video,Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,4
Device ID,0x9A40

Expansion Options
Intel® Thunderbolt™ 4,Yes
Microprocessor PCIe Revision,Gen 4
Chipset / PCH PCIe Revision,Gen 3

Package Specifications
Sockets Supported,FCBGA1598
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,26.5x18.5

Advanced Technologies
Intel® Gaussian & Neural Accelerator,2.0
Intel® Image Processing Unit,6.0
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.1
Intel® Adaptix™ Technology,Yes
Intel® Optane™ Memory Supported ‡,Yes
Intel® Speed Shift Technology,Yes
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512
Idle States,Yes
Thermal Monitoring Technologies,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® Control-Flow Enforcement Technology,Yes
Intel® Total Memory Encryption,Yes
Intel® AES New Instructions,Yes
Intel® Software Guard Extensions (Intel® SGX),No
Intel® Trusted Execution Technology ‡,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Stable IT Platform Program (SIPP),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/208663/intel-core-i71180g7-processor-12m-cache-up-to-4-60-ghz-with-ipu/specifications.html
