UPE | Compare Intel® Products
05/06/2024 10:51:32 AM
,Intel® Core™ i7-4700EQ Processor (6M Cache- up to 3.40 GHz)

Essentials
Product Collection,4th Generation Intel® Core™ i7 Processors
Code Name,Products formerly Haswell
Vertical Segment,Embedded
Processor Number,i7-4700EQ
Lithography,22 nm

CPU Specifications
Total Cores,4
Total Threads,8
Max Turbo Frequency,3.40 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.40 GHz
Processor Base Frequency,2.40 GHz
Cache,6 MB Intel® Smart Cache
Bus Speed,5 GT/s
TDP,47 W

Supplemental Information
Marketing Status,Discontinued
Launch Date,Q2'13
Servicing Status,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021
Embedded Options Available,Yes
Use Conditions,Industrial Commercial Temp
Datasheet,View now
Product Brief,View now
Additional Information,View now

Memory Specifications
Max Memory Size (dependent on memory type),32 GB
Memory Types,DDR3L 1333/1600
Max # of Memory Channels,2
Max Memory Bandwidth,25.6 GB/s
ECC Memory Supported   ‡,Yes

GPU Specifications
GPU Name‡,Intel® HD Graphics 4600
Graphics Base Frequency,400 MHz
Graphics Max Dynamic Frequency,1.00 GHz
Graphics Video Max Memory,2 GB
Graphics Output,eDP/DP/HDMI/VGA
Max Resolution (HDMI)‡,N/A
DirectX* Support,11.2/12
OpenGL* Support,4.3
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,Yes
Intel® Flexible Display Interface (Intel® FDI),Yes
Intel® Clear Video HD Technology,Yes
# of Displays Supported ‡,3

Expansion Options
Scalability,1S Only
PCI Express Revision,3.0
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8 2x4
Max # of PCI Express Lanes,16

Package Specifications
Sockets Supported,FCBGA1364
Max CPU Configuration,1
TJUNCTION,100°C
Package Size,37.5mm x 32mm x 1.6mm

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0
Intel® Hyper-Threading Technology ‡,Yes
Intel® Transactional Synchronization Extensions,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Intel® My WiFi Technology,Yes
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® Identity Protection Technology ‡,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® Trusted Execution Technology ‡,Yes
Execute Disable Bit ‡,Yes
Anti-Theft Technology,Yes
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/75469/intel-core-i74700eq-processor-6m-cache-up-to-3-40-ghz/specifications.html
