UPE | Compare Intel® Products
05/06/2024 10:38:32 AM
,Intel® Core™ i9 processor 14900HX (36M Cache- up to 5.80 GHz)

Essentials
Product Collection,Intel® Core™ i9 Processors (14th gen)
Code Name,Products formerly Raptor Lake
Vertical Segment,Mobile
Processor Number,i9-14900HX
Lithography,Intel 7
Recommended Customer Price,$679.00

CPU Specifications
Total Cores,24
# of Performance-cores,8
# of Efficient-cores,16
Total Threads,32
Max Turbo Frequency,5.8 GHz
Intel® Thermal Velocity Boost Frequency,5.8 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,5.7 GHz
Performance-core Max Turbo Frequency,5.8 GHz
Efficient-core Max Turbo Frequency,4.1 GHz
Performance-core Base Frequency,2.2 GHz
Efficient-core Base Frequency,1.6 GHz
Cache,36 MB Intel® Smart Cache
Processor Base Power,55 W
Maximum Turbo Power,157 W
Minimum Assured Power,45 W
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'24
Embedded Options Available,No

Memory Specifications
Max Memory Size (dependent on memory type),192 GB
Memory Types,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s
Max # of Memory Channels,2
Max Memory Bandwidth,89.6 GB/s

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 14th Gen Intel® Processors
Graphics Max Dynamic Frequency,1.65 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,32
Max Resolution (HDMI)‡,4096 x 2160 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,5120 x 3200 @ 120Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Multi-Format Codec Engines,2
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,4
Device ID,0xA788

Expansion Options
Direct Media Interface (DMI) Revision,4.0
Max # of DMI Lanes,8
Scalability,1S Only
PCI Express Revision,5.0 and 4.0
PCI Express Configurations ‡,Up to 1x16+4 |  2x8+4
Max # of PCI Express Lanes,20

Package Specifications
Sockets Supported,FCBGA1964
Max CPU Configuration,1
TJUNCTION,100°C
Max Operating Temperature,100 °C
Package Size,45.0 mm x 37.5 mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Thread Director,Yes
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.2
Intel® Adaptix™ Technology,Yes
Intel® Speed Shift Technology,Yes
Intel® Thermal Velocity Boost,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,Yes
Intel® Hyper-Threading Technology ‡,Yes
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes
Intel® Flex Memory Access,Yes
Intel® Volume Management Device (VMD),Yes

Security & Reliability
Intel® AES New Instructions,Yes
Secure Key,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
Link,https://www.intel.com/content/www/us/en/products/sku/235995/intel-core-i9-processor-14900hx-36m-cache-up-to-5-80-ghz/specifications.html
