Achitecture,Base Clock,Base Power,Gen,IGPU Frequency,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
4,4.0,35,9,2800,,https://www.amd.com/en/products/specifications/processors.html,5.2,54,2.0,5.0,Ryzen 9 PRO 8945HS,Ryzen PRO 8000 Series,24,8.0,16.0
4,3.3,15,7,2700,,https://www.amd.com/en/products/specifications/processors.html,5.1,30,2.0,5.0,Ryzen 7 PRO 8840U,Ryzen PRO 8000 Series,24,8.0,16.0
4,3.8,35,7,2700,,https://www.amd.com/en/products/specifications/processors.html,5.1,54,2.0,5.0,Ryzen 7 PRO 8845HS,Ryzen PRO 8000 Series,24,8.0,16.0
4,3.3,20,7,2700,,https://www.amd.com/en/products/specifications/processors.html,5.1,30,2.0,5.0,Ryzen 7 PRO 8840HS,Ryzen PRO 8000 Series,24,8.0,16.0
4,3.6,35,7,2700,,https://www.amd.com/en/products/specifications/processors.html,5.1,35,2.0,5.0,Ryzen 7 PRO 8700GE,Ryzen PRO 8000 Series,24,8.0,16.0
4,4.2,45,7,2900,,https://www.amd.com/en/products/specifications/processors.html,5.1,65,2.0,5.0,Ryzen 7 PRO 8700G,Ryzen PRO 8000 Series,24,8.0,16.0
4,3.5,15,5,2600,,https://www.amd.com/en/products/specifications/processors.html,4.9,30,2.0,5.0,Ryzen 5 PRO 8640U,Ryzen PRO 8000 Series,22,6.0,12.0
4,4.3,35,5,2600,,https://www.amd.com/en/products/specifications/processors.html,5.0,54,2.0,5.0,Ryzen 5 PRO 8645HS,Ryzen PRO 8000 Series,22,6.0,12.0
4,3.5,20,5,2600,,https://www.amd.com/en/products/specifications/processors.html,4.9,30,2.0,5.0,Ryzen 5 PRO 8640HS,Ryzen PRO 8000 Series,22,6.0,12.0
4,3.9,35,5,2600,,https://www.amd.com/en/products/specifications/processors.html,5.0,35,2.0,5.0,Ryzen 5 PRO 8600GE,Ryzen PRO 8000 Series,22,6.0,12.0
