Achitecture,Base Clock,Base Power,Gen,IGPU Frequency,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
14,0.6,37,7,1000,Q2'15,https://www.intel.com/content/www/us/en/products/sku/87717/intel-core-i75750hq-processor-6m-cache-up-to-3-40-ghz/specifications.html,3.4,47,,3,i7-5750HQ,5th Generation Intel® Core™ i7 Processors,6,4,8.0
7,1.0,35,9,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232162/intel-core-i913900te-processor-36m-cache-up-to-5-00-ghz/specifications.html,5.0,35,,5,i9-13900TE,13th Generation Intel® Core™ i9 Processors,36,24,32.0
7,4.4,35,3,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236775/intel-core-i3-processor-14100t-12m-cache-up-to-4-40-ghz/specifications.html,4.4,69,,5,i3-14100T,Intel® Core™ i3 Processors (14th gen),12,4,8.0
7,0.9,35,7,1000,Q1'24,https://www.intel.com/content/www/us/en/products/sku/236794/intel-core-i7-processor-14700t-33m-cache-up-to-5-20-ghz/specifications.html,5.0,106,,5,i7-14700T,Intel® Core™ i7 Processors (14th gen),33,20,28.0
14,3.3,0,3,950,Q3'15,https://www.intel.com/content/www/us/en/products/sku/90728/intel-core-i36300t-processor-4m-cache-3-30-ghz/specifications.html,3.3,0,,4,i3-6300T,6th Generation Intel® Core™ i3 Processors,4,2,4.0
22,2.8,0,5,1000,Q4'13,https://www.intel.com/content/www/us/en/products/sku/75027/intel-core-i54200h-processor-3m-cache-up-to-3-40-ghz/specifications.html,3.4,0,,3,i5-4200H,4th Generation Intel® Core™ i5 Processors,3,2,4.0
14,2.5,35,5,1000,Q2'20,https://www.intel.com/content/www/us/en/products/sku/201839/intel-core-i510300h-processor-8m-cache-up-to-4-50-ghz/specifications.html,4.5,45,,4,i5-10300H,10th Generation Intel® Core™ i5 Processors,8,4,8.0
22,2.0,0,5,1000,Q1'14,https://www.intel.com/content/www/us/en/products/sku/80343/intel-core-i54310u-processor-3m-cache-up-to-3-00-ghz/specifications.html,3.0,0,,3,i5-4310U,4th Generation Intel® Core™ i5 Processors,3,2,4.0
22,2.3,0,7,1000,Q2'14,https://www.intel.com/content/www/us/en/products/sku/78932/intel-core-i74712hq-processor-6m-cache-up-to-3-30-ghz/specifications.html,3.3,0,,3,i7-4712HQ,4th Generation Intel® Core™ i7 Processors,6,4,8.0
14,3.7,0,5,1000,Q4'18,https://www.intel.com/content/www/us/en/products/sku/134896/intel-core-i59600k-processor-9m-cache-up-to-4-60-ghz/specifications.html,4.6,0,,4,i5-9600K,9th Generation Intel® Core™ i5 Processors,9,6,6.0
22,2.3,0,7,1000,Q2'14,https://www.intel.com/content/www/us/en/products/sku/78933/intel-core-i74712mq-processor-6m-cache-up-to-3-30-ghz/specifications.html,3.3,0,,3,i7-4712MQ,4th Generation Intel® Core™ i7 Processors,6,4,8.0
14,0.8,7,7,1000,Q3'16,https://www.intel.com/content/www/us/en/products/sku/97466/intel-core-i77600u-processor-4m-cache-up-to-3-90-ghz/specifications.html,3.9,25,,4,i7-7600U,7th Generation Intel® Core™ i7 Processors,4,2,4.0
14,3.1,0,7,1000,Q1'18,https://www.intel.com/content/www/us/en/products/sku/130409/intel-core-i78809g-processor-with-radeon-rx-vega-m-gh-graphics-8m-cache-up-to-4-20-ghz/specifications.html,4.2,0,,4,i7-8809G,8th Generation Intel® Core™ i7 Processors,8,4,8.0
7,5.6,55,9,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232138/intel-core-i913980hx-processor-36m-cache-up-to-5-60-ghz/specifications.html,5.6,157,,5,i9-13980HX,13th Generation Intel® Core™ i9 Processors,36,24,32.0
