Achitecture,Base Clock,Base Power,Cache,Code Name,Form Factor,Gen,IGPU Frequency,IGPU Name,L2 Cache,L3 Cache,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
TSMC 4nm FinFET,4 GHz,45W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",9,2800 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.2 GHz,35-54W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 9 PRO 8945HS,Ryzen PRO 8000 Series,,8.0,16.0
TSMC 4nm FinFET,3.3 GHz,28W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",7,2700 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.1 GHz,15-30W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 7 PRO 8840U,Ryzen PRO 8000 Series,,8.0,16.0
TSMC 4nm FinFET,3.8 GHz,45W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",7,2700 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.1 GHz,35-54W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 7 PRO 8845HS,Ryzen PRO 8000 Series,,8.0,16.0
TSMC 4nm FinFET,3.3 GHz,28W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",7,2700 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.1 GHz,20-30W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 7 PRO 8840HS,Ryzen PRO 8000 Series,,8.0,16.0
TSMC 4nm FinFET,3.6 GHz,35W,,Ryzen PRO,Desktops,7,2700 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.1 GHz,35-35W,2.0,DDR5,AMD Ryzen™ 7 PRO 8700GE,Ryzen PRO 8000 Series,,8.0,16.0
TSMC 4nm FinFET,4.2 GHz,65W,,Ryzen PRO,Desktops,7,2900 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.1 GHz,45-65W,2.0,DDR5,AMD Ryzen™ 7 PRO 8700G,Ryzen PRO 8000 Series,,8.0,16.0
TSMC 4nm FinFET,3.5 GHz,28W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",5,2600 MHz,AMD Radeon™ 760M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 4.9 GHz,15-30W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 5 PRO 8640U,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,4.3 GHz,45W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",5,2600 MHz,AMD Radeon™ 760M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5 GHz,35-54W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 5 PRO 8645HS,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,3.5 GHz,28W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",5,2600 MHz,AMD Radeon™ 760M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 4.9 GHz,20-30W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 5 PRO 8640HS,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,3.9 GHz,35W,,Ryzen PRO,Desktops,5,2600 MHz,AMD Radeon™ 760M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5 GHz,35-35W,2.0,DDR5,AMD Ryzen™ 5 PRO 8600GE,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,4.3 GHz,65W,,Ryzen PRO,Desktops,5,2800 MHz,AMD Radeon™ 760M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5 GHz,45-65W,2.0,DDR5,AMD Ryzen™ 5 PRO 8600G,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,3.2 GHz,28W,,Ryzen PRO,"Desktops , 1L Desktops , Laptops , Mobile Workstations",5,2800 MHz,AMD Radeon™ 740M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 4.9 GHz,15-30W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7)",AMD Ryzen™ 5 PRO 8540U,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,3.4 GHz,35W,,Ryzen PRO,Desktops,5,2800 MHz,AMD Radeon™ 740M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5 GHz,35-35W,2.0,DDR5,AMD Ryzen™ 5 PRO 8500GE,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,3.5 GHz,65W,,Ryzen PRO,Desktops,5,2800 MHz,AMD Radeon™ 740M,6 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5 GHz,45-65W,2.0,DDR5,AMD Ryzen™ 5 PRO 8500G,Ryzen PRO 8000 Series,,6.0,12.0
TSMC 4nm FinFET,4 GHz,45W,,Ryzen,"Laptops , Desktops",9,2800 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.2 GHz,35-54W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7-FP8)",AMD Ryzen™ 9 8945HS,Ryzen 8000 Series,,8.0,16.0
TSMC 4nm FinFET,3.5 GHz,35W,,Ryzen PRO,Desktops,3,2600 MHz,AMD Radeon™ 740M,4 MB,8 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 4.9 GHz,35-35W,2.0,DDR5,AMD Ryzen™ 3 PRO 8300GE,Ryzen PRO 8000 Series,,4.0,8.0
TSMC 4nm FinFET,3.4 GHz,65W,,Ryzen PRO,Desktops,3,2600 MHz,AMD Radeon™ 740M,4 MB,8 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 4.9 GHz,45-65W,2.0,DDR5,AMD Ryzen™ 3 PRO 8300G,Ryzen PRO 8000 Series,,4.0,8.0
TSMC 4nm FinFET,3.8 GHz,45W,,Ryzen,"Laptops , Desktops",7,2700 MHz,AMD Radeon™ 780M,8 MB,16 MB,,https://www.amd.com/en/products/specifications/processors.html,Up to 5.1 GHz,35-54W,2.0,"DDR5 (FP7r2) , LPDDR5X (FP7-FP8)",AMD Ryzen™ 7 8845HS,Ryzen 8000 Series,,8.0,16.0
