Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,Base Power,Max Power,CPU Gen,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
21999000,125H,7,14.0,18.0,18,0.7,4.5,1,28,115,5,16,5,5.0,512,1,,0.0,1,0,0,0,16.0,120,11,24.0,2048,1280
26999000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,48,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,36.0,1920,1200
28499000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,32,5,5.0,1024,1,,0.0,1,0,0,1,14.0,60,10,24.0,1920,1200
21999000,i9-13900,7,24.0,32.0,36,1.5,5.2,1,65,219,9,16,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,24.0,1920,1080
15999000,i5-1334U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,0,15.0,60,11,12.0,1920,1080
23499000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,32,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
43999000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,36.0,1920,1200
25999000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,32,5,5.0,512,1,,0.0,1,0,0,0,16.0,120,11,24.0,2048,1280
49999000,i9-13905H,7,14.0,20.0,24,5.4,5.4,1,45,115,9,32,5,5.0,1024,1,4060,8.0,0,0,1,0,14.0,165,11,36.0,3072,1920
18999000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,16.0,60,10,24.0,1920,1200
23999000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
23990000,i5-1155G7,10,4.0,8.0,8,1.0,4.5,1,12,28,5,64,4,4.0,512,1,,0.0,1,0,0,1,15.0,60,10,12.0,1920,1080
20499000,i5-13500,7,14.0,20.0,24,1.8,4.8,1,65,154,5,48,4,5.0,512,1,,0.0,1,0,0,1,16.0,60,10,24.0,1920,1200
32999000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,32,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,2880,1800
21989000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,32,4,4.0,512,1,,0.0,1,0,0,1,14.0,60,10,12.0,1920,1080
22490000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,16,4,5.0,1024,1,,0.0,1,0,0,1,15.0,60,11,24.0,1920,1080
22699000,i9-13900,7,24.0,32.0,36,1.5,5.2,1,65,219,9,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,1920,1200
19499000,i7-12650H,7,10.0,16.0,24,4.7,4.7,1,45,115,7,32,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
40999000,i7-1255U,7,10.0,12.0,12,4.7,4.7,1,15,55,7,16,5,5.0,256,1,,0.0,1,0,0,0,13.0,60,11,12.0,1920,1080
21999000,i9-13900,7,24.0,32.0,36,1.5,5.2,1,65,219,9,16,5,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
18799000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
12999000,i7-1255U,7,10.0,12.0,12,4.7,4.7,1,15,55,7,8,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,12.0,1920,1080
11999000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,16,4,4.0,512,1,,0.0,1,0,0,1,15.0,120,10,12.0,1920,1080
12999000,i5-1235U,7,10.0,12.0,12,4.4,4.4,1,15,55,5,32,4,5.0,512,1,,0.0,1,0,0,0,15.0,60,11,12.0,1920,1080
44990000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,16,5,5.0,1024,1,,0.0,1,0,0,1,16.0,165,11,12.0,2560,1600
27999000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,32,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,24.0,1920,1200
22799000,i9-13900,7,24.0,32.0,36,1.5,5.2,1,65,219,9,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,90,11,24.0,2880,1800
21999000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,1024,1,,0.0,1,0,0,1,15.0,120,11,12.0,1920,1080
96999000,i9-13900,7,24.0,32.0,36,1.5,5.2,1,65,219,9,64,5,5.0,1024,1,,0.0,1,0,0,1,16.0,60,11,36.0,1920,1200
11499000,i5-1235U,7,10.0,12.0,12,4.4,4.4,1,15,55,5,16,4,5.0,256,1,,0.0,1,0,0,1,15.0,120,10,12.0,1920,1080
14999000,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,45,95,5,16,5,5.0,1024,1,,0.0,1,0,0,1,15.0,60,11,24.0,1920,1080
35999000,185H,7,16.0,22.0,24,1.8,5.1,1,45,115,9,32,5,5.0,1024,1,,0.0,1,0,0,1,14.0,60,11,24.0,2880,1800
26799000,125H,7,14.0,18.0,18,0.7,4.5,1,28,115,5,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,2880,1800
85999000,i9-13950HX,7,24.0,32.0,36,5.5,5.5,1,55,157,9,64,5,5.0,1024,1,,0.0,1,0,0,1,16.0,60,11,36.0,1920,1200
44999000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,16,5,5.0,1024,1,,0.0,1,0,0,1,14.0,120,10,24.0,2880,1800
15990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,14.0,30,11,12.0,1920,1080
22999000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,36.0,1920,1200
18999000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,16.0,60,10,24.0,1920,1200
23499000,125H,7,14.0,18.0,18,0.7,4.5,1,28,115,5,32,5,5.0,512,1,,0.0,1,0,0,1,14.0,120,11,12.0,2560,1440
20599000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
17999000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,12.0,1920,1080
26499000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,32,5,5.0,512,1,,0.0,1,0,0,1,14.0,120,11,12.0,2560,1440
17999000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
