Price,Link,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,IGPU Cloock,Display Type,Display Size,Display Resolution,Display Frequency,Display Color,OS
43999000,https://hacom.vn/laptop-lenovo-thinkpad-x1-carbon-gen-11-21hm009pvn-i7-1355u-16gb-ram-512gb-ssd-14-wuxga-win11-pro-den,i7-1355U,7,10.0,12.0,12,5.0,5.0,16GB,LPDDR5,5.0,512GB,SSD,,,,IPS,"14""",1920X1200,,100% SRGB,11
20599000,https://hacom.vn/laptop-hp-probook-450-g10-9h1n5pt-i5-1335u-16gb-ram-512gb-ssd-15.6-fhd-win11-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,16 GB,DDR4,5.0,512GB,SSD,,,,IPS,"15.6""",1920 X 1080,,45% NTSC,11
44990000,https://hacom.vn/laptop-msi-prestige-16-studio-a13ve-214vn-i7-13700h-16gb-ram-1tb-ssd-rtx4050-6g-16.0-inch-qhd-165-win11-xam-vo-nhom,i7-13700,7,16.0,24.0,30,1.5,5.1,16GB,LPDDR5,5.0,1TB,SSD,,,,IPS,16.0-INCH,2560X1600,165HZ,,11
18799000,https://hacom.vn/laptop-hp-probook-450-g10-9h1n4pt-i5-1335u-8gb-ram-512gb-ssd-15.6-fhd-win11-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,8 GB,DDR4,5.0,512GB,SSD,,,,IPS,"15.6""",1920 X 1080,,45% NTSC,11
21999000,https://hacom.vn/laptop-asus-vivobook-a1505va-l1201w-i9-13900h-16gb-ram-512gb-ssd-15.6-oled-win11-den,i9-13900,7,24.0,32.0,36,1.5,5.2,16GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6 INCH,1920 X 1080,60HZ,100% DCI-P3,11
40999000,https://hacom.vn/microsoft-surface-surface-pro-9-i7-1255u-16gb-ram-256gb-ssd-13-win11-bac-bao-hanh-tai-hacom,i7-1255U,7,10.0,12.0,12,4.7,4.7,16GB,,5.0,256GB,SSD,,,,,13 INCH,,,,11
19499000,https://hacom.vn/laptop-acer-aspire-7-a715-76-728x-nh.qgesv.008-i7-12650h-16gb-ram-512gb-ssd-15.6-inch-fhd-win11-den-2023,i7-12650H,7,10.0,16.0,24,4.7,4.7,32GB,DDR4,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920 X 1080,60HZ,,11
18999000,https://hacom.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn005kva-i5-1335u-16gb-ram-512gb-ssd-16-wuxga-dos-den,i5-1335U,7,10.0,12.0,12,4.6,4.6,16GB,DDR4,5.0,512GB,SSD,,,,IPS,"16""",1920X1200,,45% NTSC,0
44999000,https://hacom.vn/laptop-lenovo-yoga-9-14imh9-83ac000svn-ultra7-155h-16gb-ram-1tb-ssd-14-2.8k-cam-ung-win11-office-h-s-xanh,155H,0,16.0,22.0,24,0.9,4.8,16GB,LPDDR5,5.0,1TB,SSD,,,,IPS,"14""",2880X1800,120HZ,100% DCI-P3,0
85999000,https://hacom.vn/laptop-dell-mobile-precision-workstation-7680-vpro-71024676-i9-13950hx-32gb-ram-1tb-ssd-rtx2000-ada-8gb-16-inch-fhd-win-11-pro-xam,i9-13950HX,7,24.0,32.0,36,5.5,5.5,64GB,DDR5,5.0,1TB,SSD,,,,IPS,16-INCH,1920X1200,60HZ,45% NTSC,11
