Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
16799000,i5-1334U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,1,15.6,60,11,12.0,1920,1080
21989000,i5-1135G7,10,4.0,8.0,0.9,4.2,32,4,4.0,512,1,0.0,3,14.0,60,10,12.0,1920,1080
23999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
20499000,i5-13500,7,14.0,20.0,1.8,4.8,48,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
25999000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,512,1,0.0,1,16.0,120,11,24.0,2048,1280
29499000,i5-1240P,7,12.0,16.0,4.4,4.4,32,4,4.0,512,1,0.0,3,16.0,60,10,36.0,1920,1200
21999000,i9-13900,7,24.0,32.0,1.5,5.2,16,5,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
11999000,i5-1135G7,10,4.0,8.0,0.9,4.2,16,4,4.0,512,1,0.0,3,15.6,120,10,12.0,1920,1080
96999000,i9-13900,7,24.0,32.0,1.5,5.2,64,5,4.0,1024,1,0.0,3,16.0,60,11,36.0,1920,1200
12999000,i7-1255U,7,10.0,12.0,4.7,4.7,8,4,4.0,512,1,0.0,3,14.0,60,10,12.0,1920,1080
28499000,155H,7,16.0,22.0,0.9,4.8,32,5,4.0,1024,1,0.0,3,14.0,60,10,24.0,1920,1200
20599000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,15.6,60,11,12.0,1920,1080
18999000,i5-1335U,7,10.0,12.0,4.6,4.6,16,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
26999000,i5-1335U,7,10.0,12.0,4.6,4.6,48,5,4.0,512,1,0.0,3,14.0,60,10,36.0,1920,1200
21999000,125H,7,14.0,18.0,0.7,4.5,16,5,4.0,512,1,0.0,1,16.0,120,11,24.0,2048,1280
58999000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,1024,1,0.0,3,14.0,120,11,24.0,2880,1800
44999000,155H,7,16.0,22.0,0.9,4.8,16,5,4.0,1024,1,0.0,3,14.0,120,10,24.0,2880,1800
18999000,i5-1335U,7,10.0,12.0,4.6,4.6,8,4,4.0,512,1,0.0,3,16.0,60,10,24.0,1920,1200
21999000,i7-1355U,7,10.0,12.0,5.0,5.0,16,4,4.0,1024,1,0.0,3,15.0,120,11,12.0,1920,1080
