Price,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Resolution,Display Frequency,OS
43999000,7,10.0,12.0,5.0,5.0,16,5,5.0,512,1,0.0,3,14.0,2304000,60,11
20599000,7,10.0,12.0,4.6,4.6,16,4,5.0,512,1,0.0,3,15.6,2073600,60,11
44990000,7,16.0,24.0,1.5,5.1,16,5,5.0,1024,1,0.0,3,16.0,4096000,165,11
18799000,7,10.0,12.0,4.6,4.6,8,4,5.0,512,1,0.0,3,15.6,2073600,60,11
21999000,7,24.0,32.0,1.5,5.2,16,4,5.0,512,1,0.0,3,15.6,2073600,60,11
40999000,7,10.0,12.0,4.7,4.7,16,5,5.0,256,1,0.0,1,13.0,2073600,60,11
19499000,7,10.0,16.0,4.7,4.7,32,4,5.0,512,1,0.0,3,15.6,2073600,60,11
18999000,7,10.0,12.0,4.6,4.6,16,4,5.0,512,1,0.0,3,16.0,2304000,60,10
44999000,7,16.0,22.0,0.9,4.8,16,5,5.0,1024,1,0.0,3,14.0,5184000,120,10
85999000,7,24.0,32.0,5.5,5.5,64,5,5.0,1024,1,0.0,3,16.0,2304000,60,11
25999000,7,16.0,22.0,0.9,4.8,32,5,5.0,512,1,0.0,1,16.0,2621440,120,11
21999000,7,10.0,12.0,5.0,5.0,16,4,5.0,1024,1,0.0,3,15.0,2073600,120,11
21499000,7,10.0,12.0,5.0,5.0,16,5,5.0,1024,1,0.0,3,14.0,2304000,60,11
28499000,7,16.0,22.0,0.9,4.8,32,5,5.0,1024,1,0.0,3,14.0,2304000,60,10
32999000,7,16.0,22.0,0.9,4.8,32,5,5.0,512,1,0.0,3,14.0,5184000,60,11
12999000,7,10.0,12.0,4.4,4.4,32,4,5.0,512,1,0.0,2,15.6,2073600,60,11
21999000,7,14.0,18.0,0.7,4.5,16,5,5.0,512,1,0.0,1,16.0,2621440,120,11
11499000,7,10.0,12.0,4.4,4.4,16,4,5.0,256,1,0.0,3,15.6,2073600,120,10
15990000,7,10.0,12.0,4.6,4.6,8,4,5.0,512,1,0.0,3,14.0,2073600,30,11
14999000,7,8.0,12.0,4.4,4.4,16,5,5.0,1024,1,0.0,3,15.6,2073600,60,11
21989000,10,4.0,8.0,0.9,4.2,32,4,4.0,512,1,0.0,3,14.0,2073600,60,10
29499000,7,12.0,16.0,4.4,4.4,32,4,5.0,512,1,0.0,3,16.0,2304000,60,10
22799000,7,24.0,32.0,1.5,5.2,16,4,5.0,512,1,0.0,3,14.0,5184000,90,11
15999000,7,10.0,12.0,4.6,4.6,8,4,5.0,512,1,0.0,3,15.6,2073600,120,11
26999000,7,10.0,12.0,4.6,4.6,48,5,5.0,512,1,0.0,3,14.0,2304000,60,10
12999000,7,10.0,12.0,4.7,4.7,8,4,5.0,512,1,0.0,3,14.0,2073600,60,10
21499000,7,10.0,12.0,5.0,5.0,16,4,5.0,512,1,0.0,3,15.6,2073600,60,11
23990000,10,4.0,8.0,1.0,4.5,64,4,4.0,512,1,0.0,3,15.6,2073600,60,10
29499000,7,12.0,16.0,4.4,4.4,32,4,5.0,512,1,0.0,3,14.0,3136000,60,10
22699000,7,24.0,32.0,1.5,5.2,16,4,5.0,512,1,0.0,3,14.0,2304000,60,11
48999000,7,16.0,22.0,0.9,4.8,16,5,5.0,512,1,0.0,1,14.0,5184000,120,11
96999000,7,24.0,32.0,1.5,5.2,64,5,5.0,1024,1,0.0,3,16.0,2304000,60,11
49999000,7,14.0,20.0,5.4,5.4,32,5,5.0,1024,1,8.0,0,14.5,5898240,165,11
23999000,7,10.0,12.0,4.6,4.6,16,4,5.0,512,1,0.0,3,15.6,2073600,60,11
17999000,7,10.0,12.0,4.6,4.6,16,4,5.0,512,1,0.0,1,15.6,2073600,120,11
22999000,7,16.0,24.0,1.5,5.1,16,5,5.0,512,1,0.0,3,14.0,2304000,60,11
23499000,7,14.0,18.0,0.7,4.5,32,5,5.0,512,1,0.0,3,14.0,3686400,120,11
11999000,10,4.0,8.0,0.9,4.2,16,4,4.0,512,1,0.0,3,15.6,2073600,120,10
26499000,7,16.0,22.0,0.9,4.8,32,5,5.0,512,1,0.0,3,14.0,3686400,120,11
27999000,7,16.0,22.0,0.9,4.8,32,5,5.0,512,1,0.0,3,14.0,2304000,60,10
16799000,7,10.0,12.0,4.6,4.6,16,4,5.0,512,1,0.0,1,15.6,2073600,60,11
26799000,7,14.0,18.0,0.7,4.5,16,5,5.0,512,1,0.0,3,14.0,5184000,60,11
