Price,Link,CPU Name,RAM,Memory Type,Storage,Storage Type,GPU Name,GPU VRAM,PSU,Cooler,OS,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,Max DDR Support,Base Clock,Max Clock,IGPU Clock
14799000,https://hacom.vn/pc-dell-optiplex-7010-sff-i5-13500-8gb-ram-512gb-ssd-k-m-ubuntu-den-7010sff8g5121y,i5-13500,8GB,DDR4,512GB,SSD,,,180W,Fan,0,7,14.0,20.0,24,5.0,1.8,4.8,1000
14699000,https://hacom.vn/hacom-sniper-s29-i5-12400f-gtx-1660s,i5-12400,8GB,DDR4,500GB,SSD,1660,6.0,550W,Fan,0,7,6.0,12.0,18,5.0,4.4,4.4,1000
18999000,https://hacom.vn/pc-asus-all-in-one-a3402wbat-wa013w-i5-1235u-8gb-ram-512gb-ssd-23.8-fhd-cam-ung-wl-bt-k-m-win-11-trang,i5-1235U,8GB,,512GB,SSD,,,,Fan,11,7,10.0,12.0,12,5.0,4.4,4.4,1000
10799000,https://hacom.vn/pc-dell-optiplex-7010-tower-i3-13100-8gb-256gb-ssd-k-m-ubuntu-den-7010mt-i313100-8gssd,i3-13100,8GB,DDR4,256GB,SSD,,,180W,Fan,0,7,4.0,8.0,12,5.0,4.5,4.5,1000
18499000,https://hacom.vn/pc-dell-inspiron-all-in-one-5415-r5-7530u-8gb-ram-512gb-ssd-23.8-inch-fhd-camera-bt-kb-m-win-11-office-den-862tc,Ryzen 5 7530U,8GB,DDR4,512GB,SSD,530,4.0,,Fan,11,7,6.0,12.0,19,4.0,2.0,4.5,2000
9699000,https://hacom.vn/pc-hp-280-pro-g9-sff-i3-12100-4gb-ram-256gssd-wl-bt-k-m-win-11-72k89pa,i3-12100,4GB,DDR4,256GB,HDD,,,,Fan,11,7,4.0,8.0,12,5.0,4.3,4.3,1000
8499000,https://hacom.vn/hacom-sniper-r5-4600g-radeon-graphics,Ryzen 5 4600G,16GB,DDR4,500GB,SSD,,,500W,Fan,0,7,6.0,12.0,11,4.0,3.7,4.2,1900
42099000,https://hacom.vn/hacom-apollo-i7-12700k-rtx-3070,i7-12700,32GB,DDR4,512GB,SSD,3070,8.0,750W,Liquid,0,7,12.0,20.0,25,5.0,1.6,4.8,1000
15399000,https://hacom.vn/hacom-mini-c6-black-i5-12400f-gtx-1660-super,i5-12400,8GB,DDR4,500GB,SSD,1660,6.0,500W,Fan,0,7,6.0,12.0,18,5.0,4.4,4.4,1000
8799000,https://hacom.vn/pc-hacom-business-mini-vs5-i5-12400-h610-8gb-ram-500gb,i5-12400,8GB,DDR4,500GB,SSD,610,4.0,,Fan,0,7,6.0,12.0,18,5.0,4.4,4.4,1000
56899000,https://hacom.vn/hacom-apollo-i09-i7-14700k-z790-32g-ram-rtx-4070-850w,i7-14700,32GB,DDR5,1TB,SSD,4070,12.0,850W,Liquid,0,7,20.0,28.0,33,5.0,1.5,5.3,1000
10299000,https://hacom.vn/hacom-ares-a2-i3-12100f-gtx-1650,i3-12100,8GB,DDR4,256GB,SSD,610,4.0,500W,Fan,0,7,4.0,8.0,12,5.0,4.3,4.3,1000
31599000,https://hacom.vn/workstation-dell-precision-3660-tower-i7-12700-16gb-ram-256gb-ssd-1tb-dvdrw-k-m-300w-psu-ubuntu-71010147,i7-12700,16GB,,256GB,HDD,,,300W,Fan,0,7,12.0,20.0,25,5.0,1.6,4.8,1000
12799000,https://hacom.vn/pc-hp-pro-mini-260-g9-8u8t8pa-i5-1335u-8gb-ram-256gb-ssd-wl-bt-k-m-win11,i5-1335U,8GB,DDR4,256GB,SSD,,,65 W,Fan,11,7,10.0,12.0,12,5.0,4.6,4.6,1000
12999000,https://hacom.vn/pc-asus-s500sd-512400055w-i5-12400-8gb-ram-512gb-ssd-wl-bt-k-m-win-11-90pf0392-m00xj0,i5-12400,8GB,,512GB,SSD,,,,Fan,11,7,6.0,12.0,18,5.0,4.4,4.4,1000
