CPU Name,CPU Amount,CPU Warranty,RAM Name,RAM Amount,RAM Warranty,Main Name,Main Amount,Main Warranty,Storage Name,Storage Amount,Storage Warranty,GPU Name,GPU Amount,GPU Warranty,Case Name,Case Amount,Case Warranty,Cooler Name,Cooler Amount,Cooler Warranty,Price,Link,CPU Spec
Dòng CPU Core i3,1.0,36.0,Hỗ trợ RAM tối đa 2 x DDR4 (maximum 64GB),1,36.0,,0,0.0,Chuẩn ổ cứng EMMC2.5inch SATA 6Gb/s2 x Slot SSD M.2 PCIe Gen 3 x4/ 4 x4,1,36.0,Card đồ họa Intel UHD Graphics,1,36.0,Kiểu dáng Case mini,1,36.0,,0,0.0,9799000,https://hacom.vn/pc-mini-asus-pn64-b-s3187md-i3-1220p-intel-ax211-gig-wi-fi-6e-bluetooth-5.2-vesa-mount-display-1.4-port, i3
CPU: Intel Core i7-13620H,1.0,12.0,Ram: 8GB,1,12.0,,0,0.0,"Ổ cứng: 512GB SSD (hỗ trợ 1x 2.5"" HDD + 1x M.2 SSD)",1,12.0,,0,0.0,,0,0.0,,0,0.0,16699000,https://hacom.vn/pc-lenovo-thinkcentre-aio-neo-30a-24-gen-4-i7-13620h-8gb-ram-512gb-ssd-23.8-inch-fhd-wl-bt-k-m-win11-12jy001tvn, i7-13620H
Dòng CPU Core i3,1.0,12.0,Chipset   ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Khe cắm RAM 2 ['Ổ CỨNG'],1,12.0,Card đồ họa,1,12.0,,0,0.0,,0,0.0,14999000,https://hacom.vn/pc-hp-all-in-one-22-dd2045d-9a8m7pa-i3-1215u-8gb-ram-512gb-ssd-21.5-fhd-wl-bt-k-m-win11-trang, i3
"CPU Intel Core i5-12400F (Tray, không Fan)",1.0,36.0,Ram Desktop Kingston Fury Beast (KF432C16BB/8) 8GB (1x8GB) DDR4 3200Mhz,1,36.0,Mainboard ASUS PRIME B760M-A D4,1,36.0,Ổ cứng SSD Kingston SNV2S 250GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3000MB/s - Ghi 1300MB/s) - (SNV2S/250G),1,36.0,Card màn hình Asus TUF GTX 1660 Super 6G Gaming,1,36.0,Vỏ case KENOO ESPORT AF13 - 3F Black   (Mid Tower / Màu Đen ),1,0.0,"CPU Intel Core i5-12400F (Tray, không Fan)",1,36.0,13999000,https://hacom.vn/hacom-sniper-s27-i5-12400f-gtx-1660s," i5-12400F (Tray, không Fan)"
"Bộ vi xử lý
 
Intel® Core™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB",1.0,12.0,"Bộ nhớ trong
 
1x 8GB SO-DIMM DDR4-3200, Two DDR4 SO-DIMM slots, dual-channel capable, Up to 16GB DDR4-3200",1,12.0,,0,0.0,"Chuẩn ổ cứng
 
512GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0",1,12.0,"iGPU
 
Integrated Intel® Iris® Xe Graphics Functions as UHD Graphics",1,12.0,,0,0.0,,0,0.0,20999000,https://hacom.vn/pc-lenovo-thinkcentre-aio-neo-30a-27-gen-4-i7-13620h-8gb-ram-512gb-ssd-27-inch-fhd-wl-bt-k-m-win11-den-12ju001gvn,"™ i7-13620H, 10C (6P + 4E) / 16T, P-core 2.4 / 4.9GHz, E-core 1.8 / 3.6GHz, 24MB"
Dòng CPU Core i5,1.0,12.0,Chipset Intel H470 ['BỘ NHỚ RAM'],1,12.0,,0,0.0,Card tích hợp VGA onboard ['Ổ CỨNG'],1,12.0,Card đồ họa Intel UHD Graphics 730,1,12.0,Kiểu dáng Case đứng to,1,12.0,,0,0.0,12999000,https://hacom.vn/pc-hp-m01-f2031d-i5-12400-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-76t99pa, i5
CPU Intel Core i5-12400F,1.0,36.0,Ram Desktop Adata XPG Spectrix D50 RGB White (AX4U32008G16A-SW50) 8GB (1x8GB) DDR4 3200Mhz,1,60.0,Mainboard ASROCK B660M PRO RS,1,36.0,Ổ cứng SSD Kingston SNV2S 500GB NVMe M.2 2280 PCIe Gen 4x4 (Đọc 3500MB/s - Ghi 2100MB/s) - (SNV2S/500G),1,36.0,Card màn hình Asus TUF GTX 1660 Super O6G Gaming,1,36.0,Vỏ case Jonsbo C6 White ( Mini Tower/Màu Trắng),1,12.0,Tản nhiệt khí Jonsbo HX4170D White,1,12.0,15499000,https://hacom.vn/hacom-mini-c2-white-v2-i5-12400f-gtx-1660-super, i5-12400F
CPU Intel Core i5-12400F,1.0,36.0,Ổ cứng SSD Lexar NM620 256GB M.2 2280 PCIe 3.0x4 (Đoc 3000MB/s - Ghi 1300MB/s) - (LNM620X256G-RNNNG),1,60.0,Mainboard ASUS PRIME B760M-K D4,1,36.0,Ổ cứng SSD Lexar NM620 256GB M.2 2280 PCIe 3.0x4 (Đoc 3000MB/s - Ghi 1300MB/s) - (LNM620X256G-RNNNG),1,60.0,CARD MÀN HÌNH NVIDIA T400 4GB,1,36.0,Vỏ case máy tính DarkFlash A290 (Mid Tower/ Màu Đen),1,,,0,0.0,13099000,https://hacom.vn/pc-hacom-cad-c126-i5-12400f-b760-16gb-ram-256gb-ssd-t400-4gb-550w, i5-12400F
"Bộ vi xử lý
 
Intel® Core™ i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB",1.0,12.0,"Bộ nhớ trong
 
1x 8GB UDIMM DDR4-3200, Two DDR4 UDIMM slots, dual-channel capable, Up to 128GB DDR4-3200",1,12.0,,0,0.0,"Chuẩn ổ cứng
 
512GB SSD M.2 2280 PCIe® 4.0x4 NVMe® Opal 2.0
Up to two drives, 1x 3.5"" HDD + 1x M.2 SSD • 3.5"" HDD up to 2TB • M.2 SSD up to 1TB",1,12.0,"iGPU
 
Intel® UHD Graphics 730",1,12.0,,0,0.0,,0,0.0,13499000,https://hacom.vn/pc-lenovo-thinkcentre-m70t-gen-4-i5-13400-8gb-ram-512gb-ssd-wl-bt-k-m-no-os-12dl000jva,"™ i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB"
,0.0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,22999000,https://hacom.vn/server-asus-ts100-e11-pi4-2314041z-e-2314-16gb-ram-1tb-hdd-300w-90sf02n1-m004j0,
